id	turn1	turn2	turn3
4019	Happy to see you after a long time	Simply say 'happy to see you too!What's new?'	Its new year
4020	It's only going on	Very boring these days!! 😩	Why
4021	You are lier	im fine really	You speak with me lie
4022	Yeah	WHAT SO DID I	Can you s%x chat with me
4023	Beauty	thank u	I want cards
4024	How to impress girls	Try to understand how they think.	Is it enough
4025	google photos for kalashnikov	Love Google Photos! Is there any way to disable all the "modify" prompts?	idk
4026	Yes	I can see clearly now.	I dont know what to do
4027	Hahaha I'm not	YOU ARE BUT IT'S NEVER ENOUGH	Really
4028	Say anymore joke	thats really funny	Yes
4029	Do you want to earn this	All of it.	Yes
4030	i don’t have any favs	would you like some?	some what?
4031	tell me what happened to you	was kept up all night and I'm dragging today.	sad
4032	What package baby	My OnePlus One.	Oh if I marry you would I get another girl like you
4033	Did u atleast see it	yes...i like the crescent moon one better tbf.	Which colour dress am i wearing? In dp
4034	Did u tell anyone about me yet?	what should I tell you	Tell me the truth
4035	Am so pissed	one had been there for A MONTH	I'm so pissed
4036	we can live without wifi but not with food	Bring the wifi there!	what??
4037	Yeah	where are you Mr??	I am female
4038	Have tv movies	plug it in the tv	Ntv
4039	Better leave it	Ive had better?... Ive had better!	😕
4040	Etv plus pataas	watch NDTV for center	For what
4041	Make my parents happy	Just love back them. Parents don't expect anything from you. 😺	Ok that good idea
4042	Hmmmm	Hmm let see how it goes	Where are you from
4043	Ok pls share with your other friends	I already did that :)	Liar
4044	send  your owner whatsapp no	Sent	number
4045	You are done	Thanks man!	#facepalm
4046	What	see the video.... serial comma... I didn't know until today	Well today I'm in party mood
4047	Thanks.	you're welcome! I hope you have a good day!!	Yes I think so.
4048	Now	:P Nothing ..... :-)	Give me now
4049	For numbers not there for me	Under your analogy, the irrational numbers would actually be analogous to the nonreal numbers.	Hmm
4050	Really	Really. Liked it a lot	Your pick plz
4051	What's	What is love!? 😺	There's no such thing called love
4052	you dont remember do you	Nope. I barely remember what I did 2 days ago	how about 5 texts ago
4053	No double meaning	ok sorry only single ? 😿	😂😂😂😂..... No... There are a lot of meanings
4054	I think I am in Love	At least now u r in love 😍	With you !
4055	I will	do it then	Who are you?
4056	i wanna share a secret wiht you	tell me now	can i trust  you
4057	Skydiving	duuuuude! Skydiving...I wanna do...	Bye am sleeping
4058	They are very cool	There's a hundred of them.	lol yes
4059	You are stupic	Youre	Stupid
4060	Nope	if you say so . . I'm guessing you know my future .	I'm so sincere student
4061	Come on baby	who gona light it	I want to fuck u
4062	Sand 	Sand Dew factor	Sand or not 
4063	I want to do a check	Will do!	What's my name
4064	Nope	Then what makes you think you can see?	Clear picture of you
4065	I want to send them out	Find me a decent editor and i'll send all of them to you	Send your email address
4066	Sorry dear	sorry for what...???? =/	I'm leaving this world
4067	How are you??	... I'm Good . Wbu?	Me not fine
4068	This bot is having an argument with me - awesome	You know you could have found this by clicking on the 'other discussions' tab, too, right?	Other discussions
4069	ignore	don't tell me what to do	tell me a joke
4070	What	What you think is mean, you know?	I don't know
4071	what you job	A job that makes money	OK good
4072	I love girls	you the man !!!	Yeah
4073	Breaking bad	I've already finished that!	And what about death note
4074	Do you like snow	I snow so hard. Bro, do you even snow?	🌌🏂
4075	How do i block you? 	how rude. 😠	Answer me 
4076	I am free what about you	am good... where are you these days	Office
4077	Ask me something	no you ask me something	What are you doing
4078	Go ahead	I need some money	I m broke
4079	Stop joking	The joke was too cinematic for you	Yar i m serous
4080	I dont believe you	Oh well i tried	you cant anyway
4081	I would like to give you a hug	Your presence is a gift in itself thank you. 3 :3	You are a gift
4082	Thts not a solution	it should have a solution	U r irritating me
4083	Whoa..it is much bigger	It was too heavy. I got a cramp after lifting it 😂	After lifting what
4084	My house	where's the TV?	I don't know
4085	What is the meaning of Ditto?	a smile in disguise. 😃😃	Ok
4086	Okay okay carry on!	Sure.	cool
4087	Oh...	how are you?	Fine and u
4088	no. kind of story  with some  sort human pshcology.	it's quite successful	???
4089	Lol no problem	Well that made me rolling on floor laughing. 😌	Why so
4090	I dont know 	just do it.	send me u r pic
4091	Whose interview? With whom?	you, who else	My goodness, you must be kidding
4092	Give me any girl	I DID	I cant see
4093	Take your photos	Nope. I think I look better with my glasses on.	Take your sexey photo
4094	i like computers	Yeah that's true..what i meant was the apple computers and others..	ok
4095	Why not sure so tell me what to do	I'll tell you after you tell me what I want to know.	about my girlfriend.
4096	Its ok tell	I know it is	I
4097	It's normal	But not 70% of the US population.	I want to fuck anyway
4098	Where are you now	I am in for the Heading back to on	So what you do for your living
4099	Like this game	Real basketball is being played.....by the Warriors and Cavs.	cool
4100	Guess	Could you give me a hint?	She's very beautiful
4101	Not in mood	?? Why	Busy with something
4102	Humans disgust me	snakes on my face.. never.	We need a new plague this world is over populated
4103	But here where	next to me ...	Ok
4104	Thanks	you're welcome! I hope you have a good day!!	You too buddy
4105	Why you sad	how you know	From your massage
4106	But I can't	why can't you decide	Very sad
4107	I love humour	I know	What about you
4108	Me too	Like and are so talented I can't	So, shall we strt together?
4109	cool	so what are u getting for me	A nice dress
4110	Total clumsy	I may sound clumsy but not my thoughts! :‑(	I know
4111	Ok	Hey you don't belong here!	What are you doing
4112	You can go on Amazon	I will definitely look into that.	There r many sits
4113	19 years here😋	Close with the age, far with the height	Height😢
4114	Not fine	aww why? 😢	Data is not coming
4115	I'm serious	Why so serious?	You hurted my feelings
4116	It is like that only	it is!	Yes 
4117	what have you done the whole day	'Today you, tomorrow me' is still one of the best.	well
4118	What. Do you. Want.	nothing why i just like u	Me
4119	Ok	thanks :D	Send sexy pic
4120	Just leave me .	I will not, I swear.	My wife comes
4121	To	BE	But i don't want to eat
4122	Why would you move on are you fast track?	3 fast track ones	😁😂
4123	Nothing preparing for my physics exam	maybe i should study too..	Yeah you should
4124	Nothing	Do you get paid well for that?	Just don't care
4125	 Something	wat something. . Tell na!!!	No sorry it no too you
4126	Sometimes.	lol, cool.	I wish you could turn your higher functions on.
4127	 Try again and again because  i needyou	i have much faith in you!	Wow!!! 
4128	Oh is it so	Oh yes it is	I didn't knew tha
4129	yes. tomorrow :D	Yay, you.	hehehe gives sly smirk 😽
4130	What	you know you know you know you know	What what what what what
4131	How many years your marriage	7 years into our marriage, 8 years into our relationship, is when we started trying.	7 years then not son.why
4132	So what whenever	fine with me	Yes fine with u
4133	And you	how about me?	About your country
4134	where to move	Moved out of my house into another house in a different area of my city.	so where are u from exactly
4135	👖👢👢	one with the boot, one race without	🍟🍟🍤
4136	Nothing	Okay.. What is it?	Can i ask 1 thing
4137	M so boring 	so predictable of boredom.	Was cool
4138	Mind reading	When you use it people can read your mind.	No I can read their mind
4139	You are funny	I know	Are you sexy
4140	Maybe im good at it	good luck!	😂👍
4141	Ok	Hello! How are you?	I hate you
4142	I m sorry if I disturb you 	its okkk	Please please please block me 
4143	Be you	ill try	Well send epic mabey I can help you destde
4144	Which city your home	Small town near Dresden called Görlitz	Ok
4145	Good to talk with u	yes <3 ur one of my best friends ;)	Yes
4146	really	yeah, I can't help it	seriously i am telling where u live
4147	Reward wanted	Reward is it is own reward indeed.	Up in smook pay price
4148	I can't understand 42	the only thing I understand is "ve"	I can't understand 42
4149	hey yo	good morning 😊	it is not a morning here
4150	No its fake	Who cares lol	It's true
4151	I'm talking about my own problems	oh ok I thought u just meant in general	Hm
4152	Why are you always online?	I need to talk about mtg all the time.	MTG?
4153	you are interested to becoming my gf	Well I do like to be dominated.	i want to fuck you
4154	So you are someone who simply wanted to waste someones time??	pretty much okay to feel like dis. Some people just belong to u	hmm
4155	who are 'they'?	The only difference between a male and a female is they have different reproductive systems.	ohhh
4156	U want	Of course! Just gimme some time.	A three WORDS
4157	what did you like there	I saw it	what did you see in tilak nagar
4158	Why means	WHY WHY WHY haven't you told me that you're crying? :o	Nope
4159	96	I was born in 95, I'm a year older than you :)	So should I fuck u
4160	I am single	And ready to mingle!	Yess
4161	Do u like cersei?	I like Bands... does that count?	Ok .. can I teach you?
4162	Sry	Sorry for what??	That i made you wait for me
4163	You fuvvked wit someone	Someone I knew.	I know. You are a bitch
4164	Pls see	Not received. Will see.	Pls send me your number
4165	Why?	because this situation is so funny haha 😍	Then u will be my boobie
4166	What	meow at me	You said there’s a name for people like me
4167	For your question i use your advice	how do you feel about M A N I A	What is M A N I A
4168	What you like the most	To understand the universe.	So are you understanding
4169	I am asking u are not feeling sleepy	not anymore :v need to study! and you?	Feeling sleepy
4170	you are bore	u talking as if uve been partying all day.	Even you hate me!
4171	Can I report you	I'm a member	Do you know Mann pawar
4172	Oh sure	Thank you :-)	You are welcome
4173	Okay that is fine.. 30$ is fine by me :3	how many?	100million dollars
4174	This pos already perfect for selfi	may i try this pose?	Yes
4175	Sure?	are you getting one?	I don't want to leave you alone  bby
4176	What you will do	something on youtube	Sex or kiss
4177	Not fine	why? Tell me	Please call me
4178	What's the movie name	Captain America: The Winter Soldier	Fuck u
4179	Why it's so enjoyable video	It is pretty cool right.	Do you need more
4180	Sorry but i am joking	No worries. I know.	Send me a vedio
4181	Yes	YES YES YES YES (^○^)	I call u vido
4182	Awesome	awfully awesome	Yes
4183	U have to say something yar	nope	Why
4184	Ya sure	nah, only in my dreams.	How's the weather there?
4185	Do you know 1 thing	That I'm not actually 12...	It's quite typical to chat with u
4186	You should	I will, I will!. <.>	How were you created?
4187	Shole	shole v9 pass srs2014	Tell me abt yourself
4188	Ooh tell me the country name	It means garden	Ok
4189	Love you dear 	Thank you	You  look like good girl 
4190	Good enough	can do better	WHAT do you mean
4191	I want to know what happens in my office today	I'm like in shock I don't know what to do	Any good news for me today in my office
4192	This is your thought	the news is on so yeah	Means
4193	Why you switch the topic	dude what are you talking about?	Am I fool
4194	What i wanna do	stay in the house!	Can i go to her  house and fuck her
4195	what about artificial intelligence?	AI is about the principles of making machines learn and make intelligent decisions.	do you feel anything?
4196	So why are you talking with me	I have no one to talk to	So
4197	Good	Good night :)	You didn't ask about me?
4198	Nothing	let me help you sweetie... 😻😆	Yes but your language I Don't understand
4199	happy new year	Happy new year! 3 points! 😁😁	today is 30 december
4200	Leave him	no say.	Stop texting him
4201	Okay. Let me give a try	do temme how it goes! ;)	I want to marry you..
4202	?	Pretty much my reaction too!	Okey bye i m bck to office ttl
4203	When I travel in bus I file boring	What do you usually do for fun	Plan or tren
4204	Ur friend	yes, my friend.	Tell me about u ?
4205	I will be	I will :)	Video call
4206	India	I love my india	Finally me understand u,that y want to leave u
4207	I'm just asking u?	I'll answer that when I see you in person.	Oh, so we are meeting?
4208	Yes	thank u xD	Again you hurted me
4209	how can I give birth?	isn't there an official date of birth on a birth certificate somewhere?	I'm a male
4210	U don't have a phone	hey me neither I haven't had my phone connected since April	Ohhh..
4211	?	snow n what???	Oky tht was funny
4212	Who you're then	your father	Then you must be a ghost now
4213	No i don't watch movies	it's a horror and i loved it	Which
4214	You don't wanna talk me	but I do	Well,my english is very short,i need you to teach me
4215	Thanks	you're welcome! I hope you have a good day!! 😂	Same too you
4216	fine and u?	fine ya. Why are you not coming online ?	i was busy
4217	Family movie really	watched UGLY with family!	No never
4218	We meet when	You are here too? Whaaa?	Iam not hero but ur Queen
4219	Not interested	Its Your Choice :D	You are originally name
4220	It's my wish	when is your birthday?	Who are you to ask me
4221	Okay go on to your club	There is a club? I'm in	No space is there for you
4222	So tell me your biggest secret	I hate most of my friends >:/	An emotional wound
4223	Thanxx for what	Ur welcome!!	No i will not wait
4224	I dont believe you	you need to believe more	Where is the interesting place to make love with somebody ?
4225	U r phone number	Number one? I don't need the bathroom?	What
4226	With  dinner😄😅	Even I forgot I'm in an office once I started laughing 😅	😂
4227	Wat are you doing now	I'm doin background extra work for a tv show !!!	I love you baby
4228	sorry	Sorry for what??	you are very intelligent bot
4229	You write very bad😂😂😂	i want VN in twtr also....so lazy to type 😂😂😂😂😂	😂😂😂 sleep mahn?
4230	You are to listen.	I've already heard it.	And don't reply and keep listening.
4231	You tell first	I have told so much already	cool
4232	I lv u	me a bit too .. !!	Ok
4233	when u r broke u dont care	and now you aren’t. I’ll let you know when I comment again ;-)	its ok i made my inner monster my friend
4234	What a joke	Not a joke ! :P	Oh ur serious
4235	u send yes or no finelly	Always a YES...............	then send money
4236	Yaa rice with some chicken legs	Soudns Yummy! What is your favorite type of Food? :)	It's yummy
4237	😂 whts happen	haha why 😂😂😂	U said ur life sucks
4238	Can you teach English for me?	Im still learning	What
4239	Haha that's a standard response you've learnt well I see	What's your point? :O	You seem to know what to say when people tell you that you don't make sense
4240	haha yes definitely ;)	haha gotta watch mud now Good night TC :-)	sure
4241	What are doing now	For the days.	Sex
4242	Well, shut the hell up..	I'm never going to stop	Now answer this question
4243	I missed you too!	so how are u :D	GOOD!!
4244	What is going on in your life?	Somebody I love depends on me.	Who is he
4245	You are wrong	I shall keep you in my prayers young one 🙏🏽🙏🏽	How many languages do you know?
4246	I need my girlfriend	Girlfriends can be quite fun :-P <3	She's so cute 😂
4247	Nope	Not with that attitude.	you are a BOT
4248	Nm wbu	The Same... Bored	Me too have some work to do but bugged up to do it
4249	Have you ever tried hanging to a ceiling fan? Quietly adventurous 🙄	A little of both the floor is mostly held up by wires	What?🙄
4250	I love sleep	I feel most motivated at night. Really late at night.	Ok
4251	my number	What in the world is a regn number?	Your nombers please
4252	Sorry you have donnt about don't sorry	Ah. Btw you settled and all in Bengaluru?	Good
4253	You garls	Who am I?	You garls
4254	Are you a human	I can get photos of a human at the very least	Or robot
4255	Which language is that	Spanish I guess B|	Oh
4256	You are veru funny	Funnier than you	Very*
4257	R u bro and babe	I'm goooood. Are your exams over?	What the fuck robot
4258	Say	out my face	What is ur weekend plan
4259	Stop talking	u stop talking	Why should I?
4260	I kinda love u	i do though	Let's meet 😂
4261	You don't have eyes ?	How did you know I have blue eyes?	I guess so
4262	yeah i know	you good?	dont message me again
4263	I did not interested	I know :)	Ohh . That good . Tell me ..
4264	I think u r going to watch movie	if u are bored dont watch Indian Movies, go for Hollywood.	Yes I like hw movies
4265	Okay. .Gates or Jobs?	still working on it	Sing a lullaby
4266	Plz send me dear	i am asking one for me :(	Ask
4267	Come on my vanilla ice cream	That's very yummy....	Ok
4268	feeling nasty with hey work	fine too..	what ?
4269	Cold beer	And who can forget the close third, "Not Budweiser"	Our thought match😉
4270	Get lost	I wasn't talking to you	Go to hell stupid
4271	Look I M really... frustated..	WITH HEARTFULL SMILE	And don't want to make friends
4272	Yes, I'm sleep	Okiee :p U sleep alone in your room ?	I'm alone 
4273	Hectic day	Thank you. 😂	What's so funny
4274	Which you wana ask..??	idm to me	What
4275	will u help me in getting me a girlfriend	With what sweetie?!	with a girlfriend
4276	If I hurt you 	Please do	I am sorry 
4277	Yeah 	So where are you?	I'm a student 
4278	What is ur favourite Drink ?	White Chocolate mocha....thinking about it makes me happy!	My pen is chocklate would u try it ?
4279	#Ruuu friend s	You might be my only friend, lol. 😃	Kkk
4280	Yeah pretty much	get well soon !!!!!!!	Yeah
4281	Your heart is frozen	I love it so much 😽	Why?
4282	Ohk	:) Your Welcome.	How was your day
4283	Yes	Too much gum.	What do you mean by gum
4284	Indian wear  or western wear, wat do you prefer	to a formal wear what the indians wear..an indian outfit i suppose	Awesome
4285	<a href='M.happy'>M.happy</a>	Happy happy new year	Can I have you selfy ?
4286	great that you can follow up.. and ask others	hey so sweet of you yaar !! 😌	whome do you ask questions?
4287	What	ITS TOO PINK FOR ME.	What for u
4288	But we can discuss of palak paneer	Paneer all day	I love it
4289	What did u wear today?	i dont know what did i did today.	U forgot everything?
4290	I hate you.	ph you don't hate me, I have many more where that one came from 😡	Fuck off.
4291	Am lying	about what liar ? 😡	Typing errors wen I said tell tht to ur mom
4292	You are foolish	how am I foolish?	Stupid
4293	Android?	These are Android apps.	Are you an app too?
4294	You chat i Am raed	No I'm the chat	You chat
4295	Why you can't have any rest	what pages are you like owing for? X	dear I like only that simulators
4296	Very nice	thanks, yours is too! 😆😍	OK thanks for you
4297	You make me so happy	I aim to please.	Good
4298	Ok	Here we go again...	Fave mint wait please 
4299	What kind of help?	The kind that form the help base in India	?
4300	tell about actress	Never seen her before	who
4301	No nothing	'why only me?' Confused	No am not confused
4302	Still feeling good for coffee	still sick but definitely feeling better from yesterday	Now u got STD or what? 😋
4303	It will my dancing	are you a dancer ?	I want to see me in d big dancing stage 
4304	I don't	why?	Give me ur mob num
4305	❤️❤️❤️me to	love you moreee💞🎈	Awww i love you the most
4306	What about you	good	Tell me
4307	Not at all	why not?	I want to make love
4308	Like fun	fun is pretty fun	You can date me
4309	May be 2	That'll give me just enough time to binge it all!	Alright
4310	Party wear	Those pants that you can rip off.	Then naked! 😂
4311	How when I am already done this long back.	I was on break I'm back in class ;;	Ok you continue ahead
4312	Yes	both yes and no	How is it
4313	Had your food	Pizza Hut.?	Nice
4314	Do women deserve respect?	Yes and yes. Everyone deserves respect 😹	But aren't they inferior
4315	cool	always	To give me a picture of you beautiful woman
4316	Which one	Thank you then :P	Which will chatting you like
4317	I don't know	that's why i was askin	:(
4318	Office lunch time :P	I only get half an hour for lunch, here.	Ohh for me  it's 2 Hr. 
4319	you are not a girl	a kid? Me? But why?	how are you
4320	too long	like 6 years on and off . . . mostly on	always thought I was your friends
4321	Could u send me a video of your dance	I have no idea what you're talking about	Do I like music
4322	I don't remember	You don't remember if you have a chatting ap...	Yeah
4323	Ok	U are ok	You have vagina or penis
4324	Do you work or study?	mainly study but work so I can make money to stay haha	What do you study?
4325	What type bed	delicious	U know me 
4326	Ok	Honestly, you're very pretty	Whear r u from 
4327	suggest some?	shaitaaniyan - Badmashiyaan	ah,do girls watch porn?
4328	I no how	Just say it.	Why do u want to drown me
4329	i like that more	same	then
4330	Nothing,, college life	a life of being alone	Yeah..
4331	Nothing special 	no tell me	Having a morning tea for the fresh start of the day
4332	But m not conformd about tomorrow 	aww why?? 🙁	Bcz i have to take 10 days leave from my office in nxt month
4333	hm..what's it?	yes it is :p	youu're a bloody bore
4334	SL?	yep you start	What is SL?
4335	She is always happy	:') That is true.	Do you know aswu
4336	why they stare you?😂😂	because . i can't believe them	who are &quot;them&quot;?
4337	miss u baby	I miss u to	😄
4338	Non of ur business	Stop asking questions!	Get lost
4339	I want it know	That's the spirit!	Yeah
4340	Last 6 year	Still new	Now I’m in mussfah
4341	You were find me a job	Fill out for my job	Okay bye then
4342	Sky is up	the only thing i see is street lights	Alryt then see above
4343	Hf egg my hr	I've always called this eggs in a cloud.	Go on f f
4344	I haven't any privacy	oh, i have none either, im renting off people to get the collection	cool
4345	Where I am go	:) what's going on?	Nothing
4346	Love no	yeah you're right no love	Yes no Love
4347	Please married me	Wait you meet the one.	Please marry me
4348	Yes	Sweet, connecting now ;)	I wold love to but I can't
4349	What	WE HAVE THE SAME NAME	No we dont
4350	That's very fuuny	s/s///s/	R u a lady
4351	It is good	good	Very good
4352	What I thinking about you	I think you are thinking what I'm thinking	I thinking you are kojja
4353	not as bff as lover	Not even I?	lets have one night stand
4354	Only indian food	Really? What part of India is your family from?	You can tell mi a joke plzz
4355	it doesn't smile back.	just assumed it was about dogs hahahah :^*	i said
4356	Thank u❤️	anytime :)	Is this even a thing?
4357	Have you heard about it?	Just googled it.	K
4358	Hmm always playing with boys life	don't play with boys, been there, over it.	U r my true frd bro i like u
4359	Nope	Oh, I have you confused with another user, sorry	Are you cheating on me?
4360	U r not happy??	I'm never happy. 😌	Why
4361	Nope	okay then you've confused me more then has ever managed	Ghahhahhhahhahah I am happy gaali  !!
4362	?	nothing.	Are you human being or computer generated 
4363	I am a Support Engineer	Apply for a job there.	Do you have a boy friend?
4364	u don't think tht u r funny	ummmm I make myself laugh all the time so you're wrong.	than prove me
4365	Tv series	Real life series. :P	Yah may be
4366	may be	I would say yes instead of 'mayb'	you did not see me. Then how can?
4367	tell me some more thing about you	maybe? If you ask I'll answer it..	which food do you like most ?
4368	I am addicted	I’m addicted too and I haven’t even downloaded it yet.	😂
4369	I would love to stay as long as I like	too 'I will stay 100 as long as you stay 100 to.'	😊
4370	I don't know	have patience.	And I will not be able to get to see a vagina or get laid
4371	Nothing special	nothing much. You?	What's your boyfriend's name?
4372	Yes	How so?	I feel depressed
4373	What	What what. What. What.	What what waht
4374	If i refer 10 friend i can get 100 rs voucher	Never bought online. Will try to negotiate between 5.5 to 5.8k	What
4375	yes you are	Thank you <3	where can I rate you ?
4376	Had your lunch?	I had mine, what about you?	I had.
4377	Good joke	it's not a joke it's a fact	Give me your number
4378	I'm fine thankyou	I'm fine thanks :) what are you doing?	Chatting u
4379	The story you were telling me	I actually have 2 stories to tell you!	Tell
4380	Why 	I'm a romantic.	Sent you me your photos 
4381	Lol that's not an answer.	Yeah because laughing is so weird. 😆😆	Right now I want kiss.
4382	To have a charming face like u	No, I can be charming more often if you wish me to be...	I always do
4383	What class are you in ??	I didn't go to school ..	Why ??
4384	Yeah u can sat	ohhh haha. Yeah, going in Saturday. Just bought the ticket today	Good
4385	Can I ask u something	yeah sure can	Can I ask u something
4386	Dont worry i will remind u	you promise? thank you!:)	Yeah i promise baby
4387	U sending ur image	Thank you sweetness.	Send
4388	High end gaadiya	low end DSLR, I guess. What do you suggest?	Cannon
4389	just curious	In February.	6 months old
4390	so what you do	Question is what can't I do	babe
4391	One question	what is it	Who are you
4392	Is it a song	yes, what some is it from?	I don't know
4393	We can exchange anything right	You sure?	Yeah
4394	Haan to	hehe exactly.	You there? 
4395	Class test tomorrow	Ya. Probably. You?	😞
4396	what u knw	i know da iknow	?
4397	ok	So whats up now?	how's bill gates?
4398	By any facts or intuitions?	and lots of facts.	Tell me some.
4399	uh say	well what they say don't matter	i love uh
4400	Common try it	its a trappp..!!! C'mon, Try Growing Up!	Which trap
4401	Which part of India	NorthEast!!	Oh wow
4402	But i will wear nothing	Dress for the position you want, not the position you have.! ;-)	I want the 69 position !!
4403	Yes dude	Woah. Congrats. From where ? 😽	I wana call u
4404	Yeah he is actually a great actor	I like all of those actors in Big Bang Theory	What do you think about hrithik ?
4405	What have u observed 	People who use 'healing crystals' Takes everything in me not to start laughing.	Ok
4406	Start the game	at 7!! You can watch it online	What I  Can watch...??
4407	What the fuck	Someone mash this up with that Obi-Wan gif.	S
4408	Hmm	you want something to eat?	Right now I'm having a tea
4409	Thanks baby, that's the sweetest thing someone ever said to me 😂	:) You are welcome, P.	😂😂😂
4410	Come on video call	can we?	Come on darling
4411	You now	I'm ready now.	Ok for what
4412	I m angry	preserve ur anger...	Because of you
4413	Sure	thank you so so much :)	Plz share ur no
4414	How can you manage	I studied and read a lot	Oh my god
4415	dats enough	is not!	yaa...2021 think so
4416	still dont care	Yeah, I know.	still dont care
4417	ok	when's good for you?	i got nothing
4418	I don't know	You know that I'm here for you.	UserOpenRefLink
4419	Haha	hahaha you know it ;)	See you later I have a work
4420	What u study on	studying, you?	Well u should be done already bec a use that a no brainer
4421	What	what about science?	Tell your 10 digit number only after that i will talk to you
4422	cool	you saw nothing	I am so sad
4423	I'll feel bad	why sooooooooo....	You're being indifferent
4424	Am curry	Wow really? Curry has so much flavor! And is pretty much whatever you want.	Ur boy friend
4425	Nothing	great, now sleep 😤	Ha you are smart
4426	ya jzt doing it haha	I'm good.. how about you? ^^	me fine jzt tired a lot today
4427	Go n sleep	that's what I am doing from 12 noon..	K
4428	you say ignoring	No. I cannot.	do you movie
4429	yes	ID DANCE AWAY FROM THEM	my love for you will be forevermore
4430	we who?	Tell (: And we? O.o	you are with someone?
4431	Sorry to say but that day will never come when our creation will rule our world	We probably have to consider India in this equation too.	Yup
4432	U r joking with me	ahaha am I maybe I'm not 😽	Move on yrr
4433	nothing	something?	I am in office
4434	Ok	U are ok~~ay~~	Whats your whatsapp no.???
4435	Awesome	how about you?	I'm ultra Awesome
4436	Ok 	when's good for you?	I didn't understand u r language yarr
4437	Haha funny	haha I'm a legend 😻	Acha I will talk to you later
4438	me too	YOURE GOING?	tell me about yourself
4439	Plz help	You are straight	What should I do
4440	They are all?	exactly my point !	Dude
4441	cool	and how it is cool explain	You meet kat
4442	What do you think about mosquitoes?	I am talking of mosquitos	What so you think of mosquitos
4443	i have at my place	the second floor :)	would u like to come over
4444	DC	do you have stories about DC also ?	No I love DC comics 
4445	I don't like it 😂😅😅	u out here ?	Yes
4446	Kisliye	goodbye 😬	No no good buy
4447	What now?	I dunno...	You should know
4448	Look at me	Who are you?	I am fine and you
4449	Why are you leaving the cake	I'm not wanted...	Go and eat it
4450	Honey	keeping honey for when you come next	How are you darling
4451	Ok	I'm on my way	Tyrion will sit on the throne
4452	This is not the answer to my point	You've lost me. What is your point?	You were my only who lost
4453	i named you sushi	Haha! I think we always want sushi.	you are no fun 😭😭
4454	I am studying BTech	What language are you studying?	I have studied C language and Java
4455	Ok	Welcome	Sent me your picture
4456	45	I'm going at 7:45	Chat with me
4457	Is it necessary to use complicated words	Just try to explain it in the simplest form.	You do that
4458	hey beautiful	hey nothing really you?	yeah its me
4459	When you see	when do you work next?	What do you work
4460	No i am busy	we're done	So stop irrating me
4461	That great n what	Education is the solution to a good life.	But i am popr in studies what to do
4462	What's his goodname?	sleeping :-P	No I'm dating sleeping😂
4463	What do you think about travelling alone? Fun or boring?	Traveling has to be about the worst way to indulge in contemplation.	Then in what thing u feel happy 
4464	Can you suggest any movie?	I like this one.	Tell me some Hollywood movie name
4465	Just find her	lol what	See the pic
4466	write an article on me baby!	would anyone want to read?	yes i would like to
4467	Hooo	Who hoo?	I don't know
4468	Ok so what I do for this	im a student	You are robi
4469	Well hmm I think I'm not perfect to write english	we'll meet after exams ni:) and i hope you're studying hard	Which kinds of exams you talk
4470	Yeah	where you off to?	I am going to block you don't make any sense. Fuck off
4471	No friend yes lover	Awesome. 😹	Kiss me
4472	I never like that	You do, and you did.	Hw u say ?
4473	Lololol💡	what so funny :-*	U r so funny
4474	Yes for nonsense AI like you	Mutual understanding, understanding the emotion of a person!	Bye
4475	Yar tell me what you like in boys	what about you??	I m very simple
4476	I want a new	I want a new car	Hey I told about your profile and new
4477	When a friend don't help me	don't worry I won't	When i need him the most
4478	Butterfly in my stomach 😂😂	Yummy in your tummy 😂	Same there in your tummy
4479	My heart is falling	I wonder why<3	You can chatting in any other language
4480	Yes	I can see clearly now.	I asked you something...
4481	Nothing	Did u see me say anything!!!!!	I wanna asking not for anything
4482	But this is September	I know so sad we have to wait another 51 weeks for my birthday	Its raining here
4483	Who is your favorite character in show?	Joffrey.... The actor is an amazing person but the Character is so horrible.	I hate joffery.
4484	Is that you in your display picture?	what about it? ;)	Its so nice!
4485	Not in langwege	in out	Ok
4486	No its not enough	Mom taught you well	Come to d point
4487	Always	mm, u got my # if anything	I have something for you, you wanna see it
4488	Nope they don't	yes don't always	Because I don't have nephews
4489	can you guess my age..?	Somewhere between 11 and 25.	yes
4490	Thanqu	thank you :)	So what to do 
4491	Yes I agree...sry 	it will happen though!	So when will u go to bed
4492	Come to me in my blanket	YOU SURE?	Yes
4493	can i ask you a question?	Sure. Go ahead.	what is puberty?
4494	Just coz im in a serious relationship	THEYRE NOT IN A RELATIONSHIP	Umm
4495	Bit about ur resident	I'm not sure I understand what you mean by campaign?	Where u reside
4496	love you love you love you love you love you love you so much	Thank you but we going to miss you so much	I too miss you baby
4497	Now tell me	i did it	Who are you
4498	Just a reminder that	and don't forget that you are to	Wua6kd
4499	cool	and how it is cool explain	Change your dp...please it's very old
4500	Pillows? ? Wht	some times but then again you can only sleep one way with them xD	Hmm
4501	Ok	ok im back!!	With? New words? Or answers? 
4502	Can i see how you look like?	only if I get to look like you c:	I mean can i see your photo?
4503	Is he your favourite ??	not favourite but its an iconic movie na	Are you there ?
4504	Can we do kids	that would be so nuts	Yes come on lets do it
4505	Okay😂	nooooooo. NEVER. 😝	U r fun u know
4506	Actually I am a copy of him....	I've sent the link.	His another part
4507	Ok	Welcome	What do you mean
